time,close,open,high,low,volume
1740564000,9769.0,9956.0,9956.0,9703.0,3492
1740567600,9844.0,9783.0,9885.0,9762.0,1527
1740571200,9752.0,9824.0,9874.0,9684.0,4007
1740574800,9838.0,9749.0,9848.0,9743.0,2451
1740578400,9875.0,9842.0,9890.0,9807.0,400
1740582000,9852.0,9867.0,9867.0,9802.0,2015
1740585600,9790.0,9807.0,9807.0,9710.0,2159
1740589200,9754.0,9792.0,9821.0,9726.0,756
1740592800,9744.0,9740.0,9770.0,9740.0,85
1740596400,9716.0,9732.0,9749.0,9715.0,761
1740600000,9750.0,9742.0,9750.0,9733.0,62
1740632400,9682.0,9716.0,9716.0,9682.0,13
1740636000,9706.0,9665.0,9750.0,9646.0,1250
1740639600,9712.0,9714.0,9798.0,9661.0,1255
1740643200,9719.0,9707.0,9729.0,9644.0,812
1740646800,9620.0,9707.0,9743.0,9610.0,1022
1740650400,9743.0,9628.0,9743.0,9628.0,1129
1740654000,9698.0,9743.0,9752.0,9698.0,211
1740657600,9762.0,9693.0,9827.0,9693.0,540
1740661200,9820.0,9792.0,9852.0,9750.0,520
1740664800,9832.0,9842.0,9852.0,9792.0,236
1740668400,9810.0,9853.0,9853.0,9800.0,330
1740672000,9728.0,9812.0,9812.0,9677.0,981
1740675600,9650.0,9728.0,9750.0,9650.0,716
1740679200,9682.0,9690.0,9724.0,9673.0,279
1740682800,9646.0,9700.0,9746.0,9640.0,206
1740686400,9615.0,9646.0,9646.0,9591.0,295
1740722400,9632.0,9635.0,9683.0,9619.0,1412
1740726000,9558.0,9648.0,9665.0,9520.0,2147
1740729600,9578.0,9558.0,9600.0,9500.0,1240
1740733200,9535.0,9585.0,9622.0,9535.0,619
1740736800,9623.0,9546.0,9633.0,9534.0,840
1740740400,9647.0,9623.0,9697.0,9605.0,1131
1740744000,9631.0,9645.0,9645.0,9582.0,403
1740747600,9640.0,9648.0,9676.0,9638.0,85
1740751200,9666.0,9642.0,9703.0,9630.0,422
1740754800,9696.0,9685.0,9734.0,9682.0,419
1740758400,9811.0,9729.0,9811.0,9680.0,199
1740762000,9862.0,9819.0,9899.0,9774.0,1040
1740765600,9770.0,9822.0,9920.0,9671.0,1149
1740769200,9844.0,9773.0,9850.0,9683.0,319
1740772800,9856.0,9835.0,9877.0,9800.0,622
1740978000,9650.0,9757.0,9757.0,9650.0,19
1740981600,9629.0,9648.0,9673.0,9566.0,543
1740985200,9521.0,9632.0,9633.0,9494.0,1596
1740988800,9499.0,9519.0,9557.0,9455.0,463
1740992400,9511.0,9470.0,9511.0,9464.0,525
1740996000,9542.0,9509.0,9550.0,9472.0,614
1740999600,9554.0,9527.0,9581.0,9520.0,217
1741003200,9552.0,9543.0,9561.0,9528.0,107
1741006800,9608.0,9572.0,9616.0,9550.0,710
1741010400,9555.0,9613.0,9616.0,9553.0,443
1741014000,9532.0,9554.0,9564.0,9532.0,234
1741017600,9570.0,9539.0,9575.0,9495.0,447
1741021200,9578.0,9565.0,9586.0,9553.0,60
1741024800,9508.0,9570.0,9581.0,9500.0,445
1741028400,9805.0,9524.0,9813.0,9524.0,1700
1741032000,9730.0,9725.0,9764.0,9665.0,842
1741064400,9783.0,9768.0,9783.0,9768.0,3
1741068000,9784.0,9785.0,9828.0,9777.0,1267
1741071600,9862.0,9794.0,9890.0,9746.0,1182
1741075200,9934.0,9861.0,9947.0,9828.0,1342
1741078800,9880.0,9901.0,9924.0,9870.0,585
1741082400,9879.0,9884.0,9890.0,9838.0,217
1741086000,9891.0,9850.0,9902.0,9848.0,347
1741089600,9853.0,9892.0,9892.0,9828.0,1089
1741093200,9872.0,9861.0,9901.0,9851.0,326
1741096800,9885.0,9880.0,9885.0,9845.0,360
1741100400,9925.0,9886.0,9925.0,9874.0,439
1741104000,9991.0,9925.0,10089.0,9825.0,3172
1741107600,9993.0,10006.0,10015.0,9958.0,1028
1741111200,9995.0,10000.0,10000.0,9955.0,173
1741114800,10007.0,9987.0,10014.0,9986.0,176
1741118400,9959.0,10006.0,10006.0,9959.0,456
1741150800,9922.0,9920.0,9922.0,9910.0,52
1741154400,9865.0,9900.0,9900.0,9847.0,944
1741158000,9855.0,9865.0,9881.0,9825.0,1010
1741161600,9930.0,9857.0,9940.0,9857.0,681
1741165200,9941.0,9948.0,9981.0,9924.0,1153
1741168800,9908.0,9935.0,9936.0,9885.0,451
1741172400,9893.0,9913.0,9917.0,9863.0,422
1741176000,9867.0,9888.0,9909.0,9857.0,639
1741179600,9907.0,9884.0,9914.0,9867.0,441
1741183200,9882.0,9906.0,9933.0,9875.0,1020
1741186800,9903.0,9886.0,9942.0,9884.0,460
1741190400,9844.0,9938.0,9938.0,9800.0,927
1741194000,9835.0,9844.0,9856.0,9830.0,196
1741197600,9829.0,9829.0,9843.0,9721.0,799
1741201200,9720.0,9831.0,9836.0,9700.0,1674
1741204800,9663.0,9719.0,9732.0,9655.0,1747
1741237200,9715.0,9714.0,9715.0,9714.0,5
1741240800,9759.0,9731.0,9764.0,9703.0,1347
1741244400,9741.0,9767.0,9778.0,9686.0,1347
1741248000,9720.0,9733.0,9743.0,9679.0,456
1741251600,9710.0,9680.0,9734.0,9680.0,411
1741255200,9646.0,9707.0,9707.0,9630.0,1175
1741258800,9610.0,9645.0,9668.0,9591.0,632
1741262400,9666.0,9604.0,9700.0,9575.0,690
1741266000,9737.0,9678.0,9769.0,9663.0,839
1741269600,9724.0,9752.0,9788.0,9699.0,290
1741273200,9659.0,9725.0,9730.0,9659.0,374
1741276800,9701.0,9693.0,9719.0,9661.0,510
1741280400,9747.0,9706.0,9799.0,9673.0,535
1741284000,9730.0,9752.0,9767.0,9730.0,390
1741287600,9727.0,9730.0,9735.0,9708.0,215
1741291200,9737.0,9716.0,9737.0,9707.0,46
1741327200,9844.0,9800.0,9898.0,9800.0,1495
1741330800,9857.0,9844.0,9914.0,9808.0,1283
1741334400,9888.0,9865.0,9923.0,9864.0,566
1741338000,9833.0,9887.0,9889.0,9830.0,1243
1741341600,9873.0,9846.0,9897.0,9846.0,643
1741345200,9913.0,9879.0,9999.0,9858.0,1832
1741348800,9878.0,9910.0,9936.0,9876.0,801
1741352400,9884.0,9878.0,9901.0,9850.0,575
1741356000,9600.0,9889.0,9896.0,9462.0,10501
1741359600,9538.0,9581.0,9612.0,9524.0,1473
1741363200,9631.0,9572.0,9673.0,9572.0,1280
1741366800,9730.0,9627.0,9750.0,9615.0,1269
1741370400,9677.0,9732.0,9739.0,9677.0,198
1741374000,9725.0,9714.0,9762.0,9701.0,100
1741377600,9710.0,9719.0,9739.0,9706.0,353
1741586400,9745.0,9749.0,9769.0,9726.0,511
1741590000,9715.0,9737.0,9737.0,9680.0,294
1741593600,9670.0,9695.0,9723.0,9659.0,771
1741597200,9697.0,9679.0,9706.0,9637.0,308
1741600800,9733.0,9708.0,9736.0,9680.0,427
1741604400,9763.0,9736.0,9803.0,9736.0,560
1741608000,9789.0,9779.0,9790.0,9750.0,244
1741611600,9771.0,9780.0,9807.0,9765.0,189
1741615200,9732.0,9775.0,9787.0,9713.0,137
1741618800,9737.0,9727.0,9751.0,9720.0,355
1741622400,9735.0,9737.0,9740.0,9720.0,391
1741626000,9707.0,9724.0,9736.0,9688.0,631
1741629600,9713.0,9706.0,9725.0,9696.0,253
1741633200,9712.0,9715.0,9724.0,9695.0,257
1741636800,9705.0,9707.0,9707.0,9701.0,37
1741669200,9702.0,9703.0,9703.0,9702.0,2
1741672800,9660.0,9688.0,9705.0,9650.0,609
1741676400,9714.0,9660.0,9714.0,9635.0,1337
1741680000,9719.0,9714.0,9740.0,9712.0,295
1741683600,9696.0,9710.0,9719.0,9681.0,206
1741687200,9697.0,9708.0,9722.0,9697.0,715
1741690800,9660.0,9703.0,9703.0,9657.0,2345
1741694400,9678.0,9658.0,9694.0,9652.0,887
1741698000,9692.0,9693.0,9721.0,9690.0,313
1741701600,9710.0,9699.0,9750.0,9696.0,1196
1741705200,9725.0,9714.0,9725.0,9691.0,172
1741708800,9746.0,9705.0,9759.0,9687.0,455
1741712400,9720.0,9763.0,9767.0,9720.0,525
1741716000,9581.0,9720.0,9746.0,9530.0,3689
1741719600,9644.0,9586.0,9644.0,9551.0,1135
1741723200,9657.0,9647.0,9667.0,9636.0,634
1741759200,9600.0,9600.0,9630.0,9589.0,844
1741762800,9569.0,9599.0,9641.0,9569.0,434
1741766400,9571.0,9570.0,9618.0,9551.0,860
1741770000,9609.0,9574.0,9632.0,9564.0,515
1741773600,9614.0,9607.0,9628.0,9593.0,872
1741777200,9636.0,9614.0,9653.0,9596.0,512
