time,close,open,high,low,volume
1739944800,78212.0,77328.0,78212.0,77205.0,5
1739948400,77661.0,77933.0,77963.0,77600.0,8
1739952000,77286.0,77573.0,77573.0,77087.0,16
1739955600,77499.0,77176.0,77499.0,77175.0,12
1739959200,77939.0,77490.0,77939.0,77489.0,19
1739962800,78021.0,78021.0,78021.0,78021.0,2
1739966400,78164.0,78123.0,78164.0,78100.0,5
1739970000,78458.0,78400.0,78458.0,78289.0,12
1739973600,78000.0,78300.0,78300.0,78000.0,12
1739980800,78600.0,78529.0,78600.0,78177.0,11
1739984400,78547.0,78547.0,78547.0,78547.0,2
1739991600,78354.0,78355.0,78355.0,78354.0,2
1740031200,78287.0,78287.0,78540.0,78287.0,10
1740034800,77965.0,78049.0,78323.0,77965.0,20
1740038400,78168.0,78107.0,78343.0,78036.0,26
1740042000,78358.0,78331.0,78358.0,78331.0,4
1740045600,78377.0,78360.0,78403.0,78328.0,6
1740049200,78430.0,78434.0,78438.0,78430.0,4
1740052800,78690.0,78329.0,78690.0,78329.0,2
1740056400,78800.0,78800.0,78800.0,78800.0,4
1740060000,78960.0,78800.0,78960.0,78800.0,16
1740063600,78700.0,78700.0,78700.0,78700.0,8
1740067200,78639.0,78887.0,78887.0,78380.0,4
1740070800,78305.0,78561.0,78562.0,78305.0,5
1740074400,78532.0,78416.0,78532.0,78416.0,2
1740078000,78647.0,78646.0,78647.0,78646.0,3
1740081600,78568.0,78548.0,78568.0,78548.0,5
1740117600,78542.0,78570.0,78570.0,78542.0,2
1740121200,78687.0,78707.0,78707.0,78687.0,8
1740124800,78582.0,78611.0,78611.0,78582.0,4
1740128400,78851.0,78700.0,78938.0,78700.0,11
1740132000,78150.0,78860.0,78997.0,78150.0,38
1740135600,77766.0,78050.0,78050.0,77429.0,82
1740139200,77633.0,77686.0,77686.0,77628.0,8
1740142800,77988.0,77614.0,77988.0,77614.0,5
1740146400,78100.0,77880.0,78100.0,77880.0,29
1740150000,78010.0,78078.0,78100.0,78010.0,11
1740153600,78067.0,78100.0,78170.0,78067.0,3
1740157200,78145.0,78072.0,78145.0,77973.0,6
1740164400,77673.0,77968.0,77968.0,77673.0,20
1740376800,78328.0,78000.0,78421.0,78000.0,5
1740380400,78132.0,78227.0,78227.0,77832.0,8
1740384000,78116.0,78200.0,78200.0,78116.0,3
1740387600,77933.0,77891.0,77933.0,77891.0,5
1740391200,77933.0,78011.0,78011.0,77933.0,4
1740394800,78056.0,78141.0,78147.0,78056.0,5
1740398400,77707.0,77806.0,77843.0,77707.0,3
1740402000,77486.0,77676.0,77676.0,77486.0,7
1740405600,77632.0,77664.0,77664.0,77629.0,8
1740409200,78056.0,77800.0,78056.0,77800.0,18
1740416400,78092.0,78084.0,78093.0,78084.0,4
1740420000,78345.0,78283.0,78345.0,78111.0,9
1740427200,78304.0,78298.0,78304.0,78298.0,2
1740463200,78590.0,78469.0,78593.0,78307.0,10
1740466800,78572.0,78614.0,78856.0,78572.0,12
1740470400,78521.0,78770.0,78839.0,78521.0,6
1740474000,79025.0,78880.0,81000.0,78880.0,130
1740477600,78854.0,79039.0,79093.0,78854.0,29
1740481200,78917.0,78799.0,79006.0,78799.0,8
1740484800,79006.0,79006.0,79006.0,79006.0,1
1740488400,78618.0,78697.0,78697.0,78618.0,6
1740492000,78549.0,78520.0,78579.0,78520.0,4
1740495600,78222.0,78400.0,78400.0,78222.0,6
1740499200,78289.0,78050.0,78289.0,77803.0,26
1740502800,77991.0,78088.0,78135.0,77991.0,5
1740510000,78523.0,78430.0,78523.0,78430.0,3
1740549600,78395.0,78444.0,78612.0,78395.0,7
1740553200,78000.0,78422.0,78422.0,78000.0,3
1740556800,77840.0,77994.0,78002.0,77840.0,6
1740560400,77798.0,78024.0,78024.0,77798.0,6
1740564000,77574.0,77798.0,77798.0,77574.0,10
1740567600,77557.0,77526.0,77828.0,77505.0,60
1740571200,76400.0,77506.0,77511.0,76400.0,75
1740574800,76359.0,76400.0,76563.0,76150.0,17
1740578400,76931.0,76426.0,76931.0,76421.0,8
1740582000,77400.0,77099.0,77400.0,77099.0,11
1740585600,77013.0,76721.0,77013.0,76721.0,19
